company_name,website,project_sector,project_state,industry,segment
"Enerpac Tool Group, Corp.",,"Manufacturing",Wisconsin,,
"Cascades Holding US Inc.",,"Manufacturing",Wisconsin,,
"Furlani Foods, LLC",,"Manufacturing",Wisconsin,,
"Microbial Discovery Group",,"Manufacturing",Wisconsin,,
"Vermilion Madison Development LLC",,"Construction",Wisconsin,,
"XeteX, LLC",,"Manufacturing",Wisconsin,,
"Associated Milk Producers, Inc.",,"Manufacturing",Wisconsin,,
"Reinhart FoodService, LLC",,"Wholesale Trade",Wisconsin,,
"Schutz Container Systems, Inc.",,"Manufacturing",Wisconsin,,
"WHPC-Regent Street-Madison, LLC",,"Construction",Wisconsin,,
"Meta House Inc.",,"Health Care",Wisconsin,,
"Kin at Freshwater LLC",,"Construction",Wisconsin,,
"Big Lift LLC",,"Wholesale Trade",Wisconsin,,
"Dynamic Ratings, Inc.",,"Manufacturing",Wisconsin,,
"Urnex Brands, LLC",,"Manufacturing",Wisconsin,,
"Worthington Cylinders Wisconsin, LLC",,"Manufacturing",Wisconsin,,
"AmeriLux International, LLC",,"Manufacturing",Wisconsin,,
"Four South Blair, LLC",,"Construction",Wisconsin,,
"Degas, LLC",,"Info and Comm",Wisconsin,,
"FIT Investment Group, LLC",,"Construction",Wisconsin,,
"Kitchen Fresh Foods LLC",,"Manufacturing",Wisconsin,,
"Triangle Manufacturing Company",,"Manufacturing",Wisconsin,,
"Impact Seven, Inc.",,"Health Care",Wisconsin,,
"New Richmond, City of",,"Construction",Wisconsin,,
"Catalent Pharma Solutions, LLC",,"Manufacturing",Wisconsin,,
"Swiss-Tech LLC",,"Manufacturing",Wisconsin,,
"Edgerton, City of",,"Construction",Wisconsin,,
"Oshkosh, City of",,"Health Care",Wisconsin,,
"USV 222, LLC",,"Real Estate",Wisconsin,,
"Brearly Street Property Group LLC",,"Construction",Wisconsin,,
"Couleecap, Inc.",,"Real Estate",Wisconsin,,
"South Milwaukee, City of",,"Public Admin",Wisconsin,,
"Wixon, Inc.",,"Manufacturing",Wisconsin,,
"NOVA GB SPE LLC",,"Real Estate",Wisconsin,,
"Kenosha Downtown Block I LLC",,"Real Estate",Wisconsin,,
"Yaskawa America, Inc",,"Manufacturing",Wisconsin,,
"2510 Good Hope LLC",,"Real Estate",Wisconsin,,
"La Crosse, City of",,"Public Admin",Wisconsin,,
"Balcan USA Inc.",,"Manufacturing",Wisconsin,,
"LAG Family LLC",,"Accommodation",Wisconsin,,
"Belmark Inc",,"Manufacturing",Wisconsin,,
"PS Seasoning & Spices, Inc.",,"Manufacturing",Wisconsin,,
"Eli Lilly and Company",,"Manufacturing",Wisconsin,,
"Stanpac USA LLC",,"Manufacturing",Wisconsin,,
"The DeLong Company, Inc.",,"Wholesale Trade",Wisconsin,,
"Derse, Inc",,"Manufacturing",Wisconsin,,
"Children's Museum of Rock County, Inc.",,"Recreation",Wisconsin,,
"Impact Confections, Inc",,"Manufacturing",Wisconsin,,
"Apple/Corning",,"Tech/Advanced Mfg",Kentucky,,
"Samsung Electronics",,"Semiconductors",Texas,,
"Stellantis",,"Automotive",Multiple,,
"Tesla",,"Automotive/EV",Nevada,,
"Sweetwater",,"Distribution",Indiana,,
"DDP Specialty Electronic Materials",,"Chemicals/Electronics",Michigan,,
"E-Space Inc",,"Aerospace/Space",Texas,,
"Rowan Digital Infrastructure",,"Data Center",Texas,,
"Lollicup USA",,"Manufacturing",Texas,,
"Hennessey",,"Automotive",Texas,,
"Tubefab",,"Manufacturing",Texas,,
"AeroVironment",,"Aerospace/Defense",Utah,,
"Edwards Lifesciences",,"Life Sciences",Utah,,
"Fervo Energy",,"Energy/Geothermal",Utah,,
"Nucor",,"Steel",Utah,,
"ContiTech USA",,"Manufacturing/Rubber",Iowa,,
