company_name,website,project_sector,project_state,industry,segment
"Daikyo Nishikawa USA Inc.",,"Automotive Parts Manufacturing",Alabama,,
"TSA LLC Tuskegee",,"Specialty Automotive Fabricator",Alabama,,
"CPT America LLC Tuskegee",,"Steel-Stamping Automotive Parts Manufact",Alabama,,
"Plasma Processes",,"Advanced Materials and Metal Coatings",Alabama,,
"L3Harris Technologies",,"Rocket Engine Manufacturing",Alabama,,
"SEA Wire & Cable Madison",,"Wire and Cable Distributor",Alabama,,
"SES Inc.",,"Aircraft Integration",Alabama,,
"Hybird Space Systems",,"Rocket Engine Manufacturing",Alabama,,
"Cargill Guntersville",,"Soybean Processing",Alabama,,
"PrismFlex Guntersville",,"Industrial Printing",Alabama,,
"Ace Aeronautics LLC Guntersville",,"MRO Rotorcraft",Alabama,,
"A&G Holdings LLC Arab",,"Warehouse/Distribution",Alabama,,
"Evonik Theodore",,"Methyl Mercaptan Production",Alabama,,
"Primo",,"Plastic Extrusion",Alabama,,
"ArcelorMittal Calvert",,"Non-Grain Oriented Steel",Alabama,,
"SSAB Axis",,"Steel Manufacturer",Alabama,,
"Master Boat Builders Inc. Coden",,"Boat Manufacturers",Alabama,,
"Gulf Distributing",,"Beverage Distribution",Alabama,,
"Derichebourg",,"Aerospace Staffing",Alabama,,
"APM Terminals",,"Container Terminal",Alabama,,
"Prism Systems",,"Software Engineering Firm",Alabama,,
"AAA USA",,"Corporate HQ/Insurance Companies",Alabama,,
"Alabama River Cellulose (Georgia Pacific) Monroeville",,"Paper Product Manufacturing - Pulp Mill",Alabama,,
"Bad Boy Mowers Monroeville",,"Mowers and Tractors",Alabama,,
"Webster Fulfillment Monroeville",,"General Warehousing and Storage",Alabama,,
"Lightsource BP",,"Solar Power Generation",Alabama,,
"SoGo Packaging LLC",,"Syrup and Bottled Fruit Juices",Alabama,,
"Browder Veneer Works Inc.",,"Hardwood Veneer",Alabama,,
"Ju-Young Manufacturing America Inc.",,"Seat Harness and Levers",Alabama,,
"Lear Corporation",,"Automobile Seats",Alabama,,
"Guyoungtech USA Inc.",,"Automobile Body Parts",Alabama,,
"Hartzell Engine Technologies",,"Aircraft and Engine Components",Alabama,,
"CIRG Industries",,"Just in Time Sequencing",Alabama,,
"Dotier LLC (Meta)",,"Data Storage and Distribution",Alabama,,
"Alfa Insurance",,"Corporate HQ/Insurance Companies",Alabama,,
"J.M. Smucker Co.",,"Manufactures Cat Food",Alabama,,
"OCI Alabama LLC",,"Sodium Percarbonate",Alabama,,
"Daikin America",,"Fluoropolymers",Alabama,,
"Wolverine Industries",,"Integrated Aluminum Manufacturing",Alabama,,
"M&J Industries",,"Machine Shop",Alabama,,
"Pro-Fab Machine of Hartselle Hartselle",,"Machine Shop/Fabricated Metal Products",Alabama,,
"Cima Solutions LLC Phenix City",,"Rubber Mats",Alabama,,
"NVH Georgia LLC Phenix City",,"Automotive Floor Mats",Alabama,,
"Johns Manville Phenix City",,"Rockwool Insulation",Alabama,,
"Logan Machine Works Phenix City",,"Metal Fabrication",Alabama,,
"Edgar's Old Style Bakery Pelham",,"Commercial Bakery",Alabama,,
"Specification Rubber Pelham",,"Rubber Product Manufacturing",Alabama,,
"Buckner Trailers Springville",,"Truck Trailer Manufacturing",Alabama,,
"The Distribution Point LLC Moody",,"Plumbing Distribution",Alabama,,
"Prystup Packaging Products Livingston",,"Folding Paperboard Box",Alabama,,
"JW Holdings Dadeville",,"Painting Auto Parts",Alabama,,
"Southern Ionics Incorporated",,"Sodium Bisulfite",Alabama,,
"Microchip Technology Inc.",,"Semiconductor and Related Device Manufac",Alabama,,
"Tosyali International Ltd.",,"Jewelry Manufacturing",Alabama,,
"Mercedes-Benz USA LLC Vance",,"Auto Merchant Wholesaler",Alabama,,
"Nat 20 Scientific LLC Buhl",,"Scientific Research and Development Serv",Alabama,,
"Jasper Lumber Company LLC Jasper",,"Saw Mill",Alabama,,
"Jones Machine & Welding Oakman",,"Production, Welding, Warehouse",Alabama,,
"Cooper Marine Inc. Calvert",,"Barge Transportation",Alabama,,
"J.M. Smucker Co. Decatur Morgan",,"Manufactures Cat Food",Alabama,,
"Eli Lilly Huntsville Limestone",,"Pharmaceutical Preparation Manufacturing",Alabama,,
"AAA USA Mobile",,"Corporate HQ/Insurance Companies",Alabama,,
"Alfa Insurance Montgomery",,"Corporate HQ/Insurance Companies",Alabama,,
"Primo Mobile",,"Plastic Extrusion",Alabama,,
"Daikin America Decatur Morgan",,"Fluoropolymers",Alabama,,
"Nelson Brothers LLC Parrish Walker",,"Specialty Chemicals and Commercial Explo",Alabama,,
"OCI Alabama LLC Decatur Morgan",,"Sodium Percarbonate",Alabama,,
"SCA Inc. Auburn Lee",,"Plastics Product Manufacturing",Alabama,,
"Amazon Oxford Calhoun",,"Distribution and Delivery",Alabama,,
"APM Terminals Mobile",,"Container Terminal",Alabama,,
"CIRG Industries Montgomery",,"Just in Time Sequencing",Alabama,,
