Company,Website,Jobs,Capex_M,Location,County,State,Sector,Date,URL,Notes,FDI_Origin
Project Ladybug (Hypersonics),,1850,400.0,Metro Denver,,Colorado,Aerospace & Defense,2025-12,https://oedit.colorado.gov/news/december-2025-edc-approved-job-growth-incentive-tax-credit-and-strategic-fund-projects,Propulsion systems; solid rockets; $400M R&D; competing OH/MS/CA,
Project Caraway,,53,,Metro Denver,Broomfield,Colorado,Technology,2025-12,https://oedit.colorado.gov/news/december-2025-edc-approved-job-growth-incentive-tax-credit-and-strategic-fund-projects,Home upgrade platform; Series A; competing Austin,
Project Rey/Oxygen (Semis),,66,15,Colorado Springs,El Paso,Colorado,Semiconductors,2025-10,https://oedit.colorado.gov/news/october-2025-edc-approved-job-growth-incentive-tax-credit-and-strategic-fund-projects,Analog/mixed signal; packaging facility; competing CA,
Project Captain (Food),,110,,Boulder,Boulder,Colorado,Food & Beverage,2025-10,https://oedit.colorado.gov/news/october-2025-edc-approved-job-growth-incentive-tax-credit-and-strategic-fund-projects,International food mfg; competing GA/AZ/TX,
