company_name,website,project_sector,project_state,industry,segment
DartPoints,,Data Center,South Carolina,Tech,AI & Machine Learning
Safe Industries,,Industrial,South Carolina,General Manufacturing,
Vermeer Corp,,Industrial Equipment,South Carolina,Industrial Equipment,
Span-America Medical,,Medical Devices,South Carolina,Life Sciences,Biotech & Life Sciences
KADIA USA,,Industrial,South Carolina,General Manufacturing,
Aran USA,,Industrial,South Carolina,General Manufacturing,
Georg Utz,,Advanced Mfg,South Carolina,General Manufacturing,
Coastal Precast Systems,,Advanced Mfg,South Carolina,General Manufacturing,
Hydrite Chemical,,Chemicals,South Carolina,Chemicals,
Huwell US,,Consumer Products,South Carolina,Consumer Products,
JGB Brothers,,Food,South Carolina,Food & Beverage,
Ironline Metals,,Advanced Mfg,South Carolina,General Manufacturing,
MCIS,,Data Center,South Carolina,Tech,AI & Machine Learning
Fenner Precision Polymers,,Advanced Mfg,South Carolina,General Manufacturing,
Coastal Ready Mix,,Advanced Mfg,South Carolina,General Manufacturing,
Woodward,,Aerospace/Industrial,South Carolina,Space,Space Tech
Rolls-Royce,,Aerospace,South Carolina,Space,Space Tech
WiJo Pouches NA,,Consumer,South Carolina,Consumer Products,
(Data center pipeline),,Data Center,South Dakota,Tech,AI & Machine Learning
LIS Technologies,,Energy/Nuclear,Tennessee,Energy,Clean Energy
Heil Trailer International,,Advanced Mfg,Tennessee,General Manufacturing,
ALUKO Group,,Advanced Mfg,Tennessee,General Manufacturing,
Korea Zinc,,Metals,Tennessee,Metals & Materials,
CDF Distributors,,Advanced Mfg,Tennessee,General Manufacturing,
Carlex Glass America,,Advanced Mfg,Tennessee,General Manufacturing,
Hyosung HICO,,Grid/Transformers,Tennessee,Energy,Clean Energy
Anatolia Cabinet,,Advanced Mfg,Tennessee,General Manufacturing,
Aqua Membranes,,Advanced Mfg,Tennessee,General Manufacturing,
Biederman,,Advanced Mfg,Tennessee,General Manufacturing,
Radiant,,Energy/Nuclear,Tennessee,Energy,Clean Energy
Nidec,,Advanced Mfg,Tennessee,General Manufacturing,
BWXT Nuclear Fuel Services,,Energy/Nuclear/Defense,Tennessee,Defense,Defense Tech
Microtex Composites,,Advanced Mfg,Tennessee,General Manufacturing,
Samsung,,Semiconductors,Texas,Semiconductors,Semiconductors
Scotiabank,,Financial Services,Texas,Financial Services,
Prysmian/Encore Wire,,Grid/Wire,Texas,Energy,Clean Energy
Bridor USA,,Food,Texas,Food & Beverage,
GCP Paper,,Advanced Mfg,Texas,General Manufacturing,
Ferrovial,,Energy/Solar,Texas,Energy,Clean Energy
Vantage Data Centers,,Data Center,Texas,Tech,AI & Machine Learning
NNA Polymers,,Chemicals,Texas,Chemicals,
SPC Group,,Food,Texas,Food & Beverage,
Ninth Avenue Foods,,Food,Texas,Food & Beverage,
MGC Pure Chemicals,,Semiconductors,Texas,Semiconductors,Semiconductors
Applied Optoelectronics,,Tech/Data Center,Texas,Tech,AI & Machine Learning
Formosa Plastics,,Chemicals,Texas,Chemicals,
MTU Aero Engines,,Aerospace,Texas,Space,Space Tech
E-Space,,Aerospace/Space,Texas,Space,Space Tech
Bionova,,Life Sciences,Texas,Life Sciences,Biotech & Life Sciences
Select Water/Mariana Minerals,,Energy/Lithium,Texas,Energy,Battery Storage
Inventec,,Tech,Texas,Tech,
Embraer,,Aerospace,Texas,Space,Space Tech
Rowan Digital,,Data Center,Texas,Tech,AI & Machine Learning
MGM/VanTran Transformers,,Grid/Transformers,Texas,Energy,Clean Energy
Salcomp,,Tech,Texas,Tech,
L&T Technology,,Tech,Texas,Tech,
Immatics,https://immatics.com,Life Sciences,Texas,Life Sciences,Biotech & Life Sciences
Lefko,,Advanced Mfg,Texas,General Manufacturing,
NTxBio,,Life Sciences,Texas,Life Sciences,Biotech & Life Sciences
PEGATRON,,Tech,Texas,Tech,
Gattefossé,,Life Sciences,Texas,Life Sciences,Biotech & Life Sciences
Gerdau,,Advanced Mfg,Texas,General Manufacturing,
BMK Pharma,,Life Sciences,Texas,Life Sciences,Biotech & Life Sciences
Yerico Manufacturing,,Semiconductors,Texas,Semiconductors,Semiconductors
Cancoil USA,,Industrial Mfg,Texas,General Manufacturing,
Ariat International,,Consumer/Apparel,Texas,Consumer Products,
Innovative Labs,,Life Sciences,Utah,Life Sciences,Biotech & Life Sciences
Bridor,,Food,Utah,Food & Beverage,
MCM Engineering II,,Grid/Switchgear,Utah,Energy,Clean Energy
Holtec/Hi Tech Solutions,,Nuclear/SMR Mfg,Utah,Energy,Clean Energy
Ionic Mineral Technologies,,Critical Minerals,Utah,Energy,Battery Components
Integrated Rail & Resources,,Rail/Resources,Utah,Transportation,
Solstice Advanced Materials,,Advanced Materials,Virginia,General Manufacturing,
Infinity Global,,Advanced Mfg,Virginia,General Manufacturing,
Anchor,,Defense/Maritime,Virginia,Defense,Defense Tech
Echodyne,,Defense/Radar,Washington,Defense,Defense Tech
Frontieras North America,,Energy/Clean Coal,West Virginia,General Manufacturing,
Calpine,,Energy/Natural Gas,West Virginia,General Manufacturing,
Microsoft,,Data Center/AI,Wisconsin,Tech,AI & Machine Learning
Nestle Purina,,Food,Wisconsin,Food & Beverage,
Foxconn,,Tech,Wisconsin,Tech,
Milwaukee Tool,,Advanced Mfg,Wisconsin,General Manufacturing,
Catalent,,Life Sciences,Wisconsin,Life Sciences,Biotech & Life Sciences
"Enerpac Tool Group, Corp.",,Manufacturing,Wisconsin,General Manufacturing,
Cascades Holding US Inc.,,Manufacturing,Wisconsin,General Manufacturing,
"Furlani Foods, LLC",,Manufacturing,Wisconsin,General Manufacturing,
Microbial Discovery Group,,Manufacturing,Wisconsin,General Manufacturing,
Vermilion Madison Development LLC,,Construction,Wisconsin,Construction,
"XeteX, LLC",,Manufacturing,Wisconsin,General Manufacturing,
"Associated Milk Producers, Inc.",,Manufacturing,Wisconsin,General Manufacturing,
"Reinhart FoodService, LLC",,Wholesale Trade,Wisconsin,General Manufacturing,
"Schutz Container Systems, Inc.",,Manufacturing,Wisconsin,General Manufacturing,
"WHPC-Regent Street-Madison, LLC",,Construction,Wisconsin,Construction,
Meta House Inc.,,Health Care,Wisconsin,Healthcare,
Kin at Freshwater LLC,,Construction,Wisconsin,Construction,
Big Lift LLC,,Wholesale Trade,Wisconsin,General Manufacturing,
"Dynamic Ratings, Inc.",,Manufacturing,Wisconsin,General Manufacturing,
"Urnex Brands, LLC",,Manufacturing,Wisconsin,General Manufacturing,
"Worthington Cylinders Wisconsin, LLC",,Manufacturing,Wisconsin,General Manufacturing,
"AmeriLux International, LLC",,Manufacturing,Wisconsin,General Manufacturing,
"Four South Blair, LLC",,Construction,Wisconsin,Construction,
"Degas, LLC",,Info and Comm,Wisconsin,General Manufacturing,
"FIT Investment Group, LLC",,Construction,Wisconsin,Construction,
Kitchen Fresh Foods LLC,,Manufacturing,Wisconsin,General Manufacturing,
Triangle Manufacturing Company,,Manufacturing,Wisconsin,General Manufacturing,
"Impact Seven, Inc.",,Health Care,Wisconsin,Healthcare,
"New Richmond, City of",,Construction,Wisconsin,Construction,
"Catalent Pharma Solutions, LLC",,Manufacturing,Wisconsin,General Manufacturing,
Swiss-Tech LLC,,Manufacturing,Wisconsin,General Manufacturing,
"Edgerton, City of",,Construction,Wisconsin,Construction,
"Oshkosh, City of",,Health Care,Wisconsin,Healthcare,
"USV 222, LLC",,Real Estate,Wisconsin,Construction,
Brearly Street Property Group LLC,,Construction,Wisconsin,Construction,
"Couleecap, Inc.",,Real Estate,Wisconsin,Construction,
"South Milwaukee, City of",,Public Admin,Wisconsin,Government,
"Wixon, Inc.",,Manufacturing,Wisconsin,General Manufacturing,
NOVA GB SPE LLC,,Real Estate,Wisconsin,Construction,
Kenosha Downtown Block I LLC,,Real Estate,Wisconsin,Construction,
"Yaskawa America, Inc",,Manufacturing,Wisconsin,General Manufacturing,
2510 Good Hope LLC,,Real Estate,Wisconsin,Construction,
"La Crosse, City of",,Public Admin,Wisconsin,Government,
Balcan USA Inc.,,Manufacturing,Wisconsin,General Manufacturing,
LAG Family LLC,,Accommodation,Wisconsin,General Manufacturing,
Belmark Inc,,Manufacturing,Wisconsin,General Manufacturing,
"PS Seasoning & Spices, Inc.",,Manufacturing,Wisconsin,General Manufacturing,
Eli Lilly and Company,,Manufacturing,Wisconsin,General Manufacturing,
Stanpac USA LLC,,Manufacturing,Wisconsin,General Manufacturing,
"The DeLong Company, Inc.",,Wholesale Trade,Wisconsin,General Manufacturing,
"Derse, Inc",,Manufacturing,Wisconsin,General Manufacturing,
"Children's Museum of Rock County, Inc.",,Recreation,Wisconsin,Consumer Products,
"Impact Confections, Inc",,Manufacturing,Wisconsin,General Manufacturing,
Apple/Corning,,Tech/Advanced Mfg,Kentucky,Tech,
Samsung Electronics,,Semiconductors,Texas,Semiconductors,Semiconductors
Stellantis,,Automotive,Multiple,Automotive,
Tesla,,Automotive/EV,Nevada,Automotive,EV Battery
Sweetwater,,Distribution,Indiana,Logistics,
DDP Specialty Electronic Materials,,Chemicals/Electronics,Michigan,Chemicals,
E-Space Inc,,Aerospace/Space,Texas,Space,Space Tech
Rowan Digital Infrastructure,,Data Center,Texas,Tech,AI & Machine Learning
Lollicup USA,,Manufacturing,Texas,General Manufacturing,
Hennessey,,Automotive,Texas,Automotive,
Tubefab,,Manufacturing,Texas,General Manufacturing,
AeroVironment,,Aerospace/Defense,Utah,Defense,Defense Tech
Edwards Lifesciences,,Life Sciences,Utah,Life Sciences,Biotech & Life Sciences
Fervo Energy,,Energy/Geothermal,Utah,Energy,Clean Energy
Nucor,,Steel,Utah,Metals & Materials,
ContiTech USA,,Manufacturing/Rubber,Iowa,Chemicals,
