company_name,slug,industry,hq_state,website
"Rowan Digital","rowan-digital","Tech","Texas",https://rowan.digital
"Rowan Digital Infrastructure","rowan-digital-infrastructure","Tech","Texas",https://rowan.digital
"Schutz Container Systems, Inc.","schutz-container-systems-inc","General Manufacturing","Wisconsin",https://www.schuetz.net
"Select Water/Mariana Minerals","select-water-mariana-minerals","Energy","Texas",https://www.selectwater.com
"Solstice Advanced Materials","solstice-advanced-materials","General Manufacturing","Virginia",https://www.solstice.com
"South Milwaukee, City of","south-milwaukee-city-of","Government","Wisconsin",https://www.southmilwaukee.gov
"Stanpac USA LLC","stanpac-usa-llc","General Manufacturing","Wisconsin",https://www.stanpacnet.com
"Stellantis","stellantis","Automotive","",https://www.stellantis.com
"Sweetwater","sweetwater","Logistics","Indiana",https://www.sweetwater.com
"Swiss-Tech LLC","swiss-tech-llc","General Manufacturing","Wisconsin",https://swisstechllc.com
"Triangle Manufacturing Company","triangle-manufacturing-company","General Manufacturing","Wisconsin",https://www.triangleoshkosh.com
"Tubefab","tubefab","General Manufacturing","Texas",https://tubefabspecialists.com
"Urnex Brands, LLC","urnex-brands-llc","General Manufacturing","Wisconsin",https://urnex.com
"USV 222, LLC","usv-222-llc","Construction","Wisconsin",
"Vantage Data Centers","vantage-data-centers","Tech","Texas",https://vantage-dc.com
"Various AI Data Centers","various-ai-data-centers","Tech","Nevada",
"WHPC-Regent Street-Madison, LLC","whpc-regent-street-madison-llc","Construction","Wisconsin",
"Wixon, Inc.","wixon-inc","General Manufacturing","Wisconsin",https://www.wixon.com
"Worthington Cylinders Wisconsin, LLC","worthington-cylinders-wisconsin-llc","General Manufacturing","Wisconsin",https://worthingtonenterprises.com
"XeteX, LLC","xetex-llc","General Manufacturing","Wisconsin",https://xetex.com
